Match Number,Round Number,Date,Location,Home Team,Away Team,Result
205,23,22/02/2025 20:30,Estádio António Coimbra da Mota,Estoril Praia,Rio Ave FC,2 - 1
200,23,23/02/2025 15:30,Estádio José Gomes,Estrela Amadora,Santa Clara,0 - 0
203,23,23/02/2025 15:30,Estádio Municipal de Arouca,FC Arouca,SC Farense,2 - 2
207,23,23/02/2025 18:00,Estádio do Clube Desportivo das Aves,AFS,Sporting CP,2 - 2
206,23,23/02/2025 20:30,Estádio Municipal de Famalicão,FC Famalicão,Moreirense FC,2 - 0
199,23,24/02/2025 20:15,Estádio do Dragão,FC Porto,Vitória SC,1 - 1
213,24,01/03/2025 15:30,Estádio da Madeira,CD Nacional,FC Famalicão,2 - 1
215,24,01/03/2025 18:00,Estádio Municipal de Arouca,FC Arouca,FC Porto,0 - 2
210,24,01/03/2025 20:30,Estádio D. Afonso Henriques,Vitória SC,Casa Pia AC,1 - 0
212,24,02/03/2025 15:30,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,Estrela Amadora,1 - 1
216,24,02/03/2025 15:30,Estádio do Bessa Sec. XXI,Boavista FC,Santa Clara,1 - 0
214,24,02/03/2025 18:00,Estádio de São Luís,SC Farense,AFS,0 - 1
209,24,02/03/2025 20:30,Estádio do Rio Ave Futebol Clube,Rio Ave FC,SC Braga,2 - 1
211,24,03/03/2025 20:15,Estádio José Alvalade,Sporting CP,Estoril Praia,3 - 1
208,24,28/03/2025 20:15,Estádio Cidade de Barcelos,Gil Vicente FC,SL Benfica,0 - 3
224,25,07/03/2025 20:15,Estádio José Gomes,Estrela Amadora,Gil Vicente FC,1 - 1
218,25,08/03/2025 15:30,Estádio do Clube Desportivo das Aves,AFS,FC Arouca,0 - 1
219,25,08/03/2025 18:00,Estádio do Sport Lisboa e Benfica,SL Benfica,CD Nacional,3 - 0
223,25,08/03/2025 18:00,Estádio António Coimbra da Mota,Estoril Praia,SC Farense,2 - 2
220,25,08/03/2025 20:30,Estádio Municipal de Braga,SC Braga,FC Porto,1 - 0
217,25,09/03/2025 15:30,Estádio de São Miguel,Santa Clara,Moreirense FC,1 - 1
222,25,09/03/2025 18:00,Estádio Municipal de Rio Maior,Casa Pia AC,Sporting CP,1 - 3
221,25,09/03/2025 20:30,Estádio do Bessa Sec. XXI,Boavista FC,Vitória SC,1 - 2
225,25,10/03/2025 20:15,Estádio Municipal de Famalicão,FC Famalicão,Rio Ave FC,1 - 0
227,26,15/03/2025 15:30,Estádio de São Luís,SC Farense,SC Braga,0 - 1
233,26,15/03/2025 15:30,Estádio Cidade de Barcelos,Gil Vicente FC,Santa Clara,0 - 1
232,26,15/03/2025 18:00,Estádio do Dragão,FC Porto,AFS,2 - 0
231,26,15/03/2025 20:30,Estádio José Alvalade,Sporting CP,FC Famalicão,3 - 1
229,26,16/03/2025 15:30,Estádio da Madeira,CD Nacional,Casa Pia AC,3 - 1
234,26,16/03/2025 15:30,Estádio Municipal de Arouca,FC Arouca,Estoril Praia,1 - 1
226,26,16/03/2025 18:00,Estádio do Rio Ave Futebol Clube,Rio Ave FC,SL Benfica,2 - 3
228,26,16/03/2025 20:30,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,Boavista FC,1 - 0
230,26,16/03/2025 20:30,Estádio D. Afonso Henriques,Vitória SC,Estrela Amadora,2 - 0
241,27,29/03/2025 15:30,Estádio Municipal de Rio Maior,Casa Pia AC,Rio Ave FC,2 - 1
243,27,29/03/2025 18:00,Estádio José Gomes,Estrela Amadora,Sporting CP,0 - 3
236,27,29/03/2025 20:30,Estádio Municipal de Braga,SC Braga,FC Arouca,2 - 1
235,27,30/03/2025 15:30,Estádio de São Miguel,Santa Clara,CD Nacional,1 - 0
238,27,30/03/2025 15:30,Estádio Municipal de Famalicão,FC Famalicão,AFS,4 - 1
242,27,30/03/2025 20:00,Estádio António Coimbra da Mota,Estoril Praia,FC Porto,1 - 2
237,27,30/03/2025 20:30,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,Vitória SC,2 - 2
240,27,01/04/2025 20:15,Estádio do Bessa Sec. XXI,Boavista FC,Gil Vicente FC,1 - 3
239,27,02/04/2025 20:15,Estádio do Sport Lisboa e Benfica,SL Benfica,SC Farense,3 - 2
252,28,04/04/2025 20:15,Estádio do Clube Desportivo das Aves,AFS,Estoril Praia,0 - 3
250,28,05/04/2025 18:00,Estádio Municipal de Arouca,FC Arouca,FC Famalicão,1 - 2
249,28,05/04/2025 20:30,Estádio D. Afonso Henriques,Vitória SC,Santa Clara,2 - 0
251,28,06/04/2025 15:30,Estádio Cidade de Barcelos,Gil Vicente FC,Moreirense FC,0 - 1
248,28,06/04/2025 18:00,Estádio da Madeira,CD Nacional,Estrela Amadora,0 - 1
244,28,06/04/2025 20:30,Estádio do Dragão,FC Porto,SL Benfica,1 - 4
247,28,07/04/2025 18:45,Estádio de São Luís,SC Farense,Casa Pia AC,0 - 0
246,28,07/04/2025 20:15,Estádio do Rio Ave Futebol Clube,Rio Ave FC,Boavista FC,0 - 2
